"industry","sub_industry"
"Marketing & Media","Advertising"
"Marketing & Media","Branding"
"Marketing & Media","Cinema"
"Marketing & Media","CRM"
"Marketing & Media","CSI"
"Marketing & Media","Design"
"Marketing & Media","Digital"
"Marketing & Media","Direct Marketing"
"Marketing & Media","Education & Training"
"Marketing & Media","Events & Conferencing"
"Marketing & Media","Exhibitions"
"Marketing & Media","Graphic Design"
"Marketing & Media","Web Design"
"Marketing & Media","Magazines"
"Marketing & Media","Marketing"
"Marketing & Media","Media"
"Marketing & Media","Mobile"
"Marketing & Media","Newspapers"
"Marketing & Media","Online Media"
"Marketing & Media","OOH"
"Marketing & Media","PR & Communications"
"Marketing & Media","Printing"
"Marketing & Media","Production"
"Marketing & Media","Promotions"
"Marketing & Media","Publishing"
"Marketing & Media","Radio"
"Marketing & Media","Recruitment"
"Marketing & Media","Research"
"Marketing & Media","Retail"
"Marketing & Media","Sales"
"Marketing & Media","Social Media"
"Marketing & Media","Sponsorship"
"Marketing & Media","Trends"
"Marketing & Media","TV"
"Marketing & Media","Youth Marketing"
"Marketing & Media","Marketing Coordinator"
"Marketing & Media","Marketing Manager"
"Marketing & Media","Project Manager"
"Marketing & Media","Marketing Strategist"
"Marketing & Media","Public Relations"
"Marketing & Media","Voice Over Artist"
"Marketing & Media","Master of Ceremonies"
"Marketing & Media","Actor / Acting"
"Marketing & Media","CRM"
"Marketing & Media","CSI"
"Marketing & Media","Brand Management"
"Marketing & Media","Content"
"Agriculture, Horticulture & Forestry","Aquaculture"
"Agriculture, Horticulture & Forestry","Commercial Fishing"
"Agriculture, Horticulture & Forestry","Commodities & Fairtrade"
"Agriculture, Horticulture & Forestry","Fertilisers & GMOâ€™s"
"Agriculture, Horticulture & Forestry","Food Security"
"Agriculture, Horticulture & Forestry","Forestry"
"Agriculture, Horticulture & Forestry","Horticulture"
"Agriculture, Horticulture & Forestry","Sustainability"
"Automotive","Components & Parts"
"Automotive","Fleet Management"
"Automotive","Manufacturing"
"Automotive","Motor Sales"
"Automotive","Motorcycles"
"Automotive","Motorsport"
"Automotive","Petrochemical"
"Automotive","Rental"
"Automotive","Repair, Maintenance & Safety"
"Automotive","Retail"
"Building & Construction","Architecture"
"Building & Construction","Interior Design"
"Building & Construction","Building Materials & Equipment"
"Building & Construction","Construction & Engineering"
"Building & Construction","Energy"
"Building & Construction","Sustainable Development"
"Building & Construction","Landscape Design"
"Building & Construction","Architectural Technologist"
"Building & Construction","Drafting Work"
"CSI","Education & Training"
"CSI","Greening & Environment"
"CSI","Health & Welfare"
"CSI","Sport"
"Education & Training","Distance Learning"
"Education & Training","E-Learning"
"Education & Training","Higher Education"
"Education & Training","Primary Education "
"Education & Training","Secondary Education"
"Education & Training","Tertiary Education"
"Education & Training","Skills Training"
"Finance & Insurance","Accounting & Auditing"
"Finance & Insurance","Actuarial & Insurance"
"Finance & Insurance","Banking"
"Finance & Insurance","Education & Training"
"Finance & Insurance","Financial Services"
"Finance & Insurance","Markets & Investment"
"Finance & Insurance","Taxation & Regulation"
"Finance & Insurance","Venture Capital"
"Government","Administration"
"Government","Government"
"Government","Law Enforcement"
"Government","Military"
"Government","Politics"
"Green Business","Climate Change"
"Green Business","CSI"
"Green Business","Environmental Management"
"Green Business","Renewable Energy"
"Green Business","Sustainable Development"
"Human Resources & Recruitment","Entrepreneurship"
"Human Resources & Recruitment","Jobs & Recruitment"
"Human Resources & Recruitment","Labour Law & Unions"
"Human Resources & Recruitment","Management"
"Human Resources & Recruitment","Skills Development & Training"
"Online, IT & Telecommunications","Cloud Computing"
"Online, IT & Telecommunications","Cyber Security"
"Online, IT & Telecommunications","Data Management"
"Online, IT & Telecommunications","Hardware"
"Online, IT & Telecommunications","Networking"
"Online, IT & Telecommunications","Services"
"Online, IT & Telecommunications","Software Sales"
"Online, IT & Telecommunications","Software Development"
"Online, IT & Telecommunications","Telecommunications"
"Online, IT & Telecommunications","Backend Web Development"
"Online, IT & Telecommunications","Front End Web Development"
"Online, IT & Telecommunications","Mobile Application Development"
"Online, IT & Telecommunications","User Experience Design"
"Online, IT & Telecommunications","User Interface Design"
"Online, IT & Telecommunications","Database Administrator"
"Online, IT & Telecommunications","Linux System Administrator"
"Online, IT & Telecommunications","Microsoft System Administrator"
"Legal","Commercial Law"
"Legal","Criminal Law"
"Legal","Cyber Law"
"Legal","Environmental Law"
"Legal","Labour Law"
"Legal","Land & Property Law"
"Legal","Law Practice"
"Lifestyle & Entertainment","Music"
"Lifestyle & Entertainment","Theatre"
"Lifestyle & Entertainment","Movies"
"Lifestyle & Entertainment","Art"
"Lifestyle & Entertainment","Fashion"
"Lifestyle & Entertainment","Events"
"Lifestyle & Entertainment","Food & Wine"
"Lifestyle & Entertainment","Travel"
"Lifestyle & Entertainment","Wellness"
"Lifestyle & Entertainment","Motoring"
"Lifestyle & Entertainment","Sport"
"Logistics","Aviation"
"Logistics","Cargo & Storage"
"Logistics","Distribution"
"Logistics","Railway"
"Logistics","Shipping"
"Logistics","Transport"
"Logistics","Warehousing"
"Manufacturing","Industrial Automation"
"Manufacturing","Machinery"
"Manufacturing","Manufacturing"
"Mining","Markets"
"Mining","Mines"
"Mining","Mining Resources"
"Mining","Science & Engineering"
"Mining","Sustainability"
"Property & Real Estate","Commercial"
"Property & Real Estate","Property Management"
"Property & Real Estate","Rental"
"Property & Real Estate","Residential"
"Retail",NULL
"Writing","Content Manager"
"Writing","Copywriter"
"Writing","Editor"
"Writing","Technical Writer"
"Writing","Blog Writer"
"Writing","Translation"
"Writing","Proofreading"
"Writing","Quality Control of e-Pubs"
"Writing","Transcription"
"Writing","Creative Writing"
"Writing","Biography"
"Writing","Features Writing"
"Graphic Design","Digital Designer"
"Graphic Design","Visual Designer"
"Graphic Design","Communications Designer"
"Graphic Design","Desktop Publishing"
"Graphic Design","Web Design"
"Graphic Design","Mobile Design"
"Graphic Design","UX Design"
"Graphic Design","UI Design"
"Graphic Design","Art / Creative Director"
"Graphic Design","Multimedia Artist"
"Graphic Design","Animator"
"Graphic Design","Catalogue Design"
"Graphic Design","Packaging Design"
"Graphic Design","Advertising / Marketing Design"
"Graphic Design","Logo Design"
"Graphic Design","Print Publication"
"Graphic Design","Editorial Design"
"Graphic Design","Illustration"
"Graphic Design","3D Design"
"Graphic Design","Corporative Design"
"Graphic Design","Environmental Graphic Design"
"Graphic Design","Photo Retouching"
"Graphic Design","Street Art"
"Graphic Design","Graffiti Murals"
"Web Development","Junior Developer"
"Web Development","Web Application Developer"
"Web Development","Web Content Developer"
"Web Development","Frontend Developer"
"Photography","Wedding"
"Photography","Sports"
"Photography","Journalism"
"Photography","Events"
"Photography","Image Makers for Advertising"
"Photography","Lifestyle Photography"
"Photography","Architectural Photography"
"Photography","Interior Photography"
"Photography","Fine Art Photography"
"Photography","Urban Photography"
"Business Project Management","Project Manager"
"Business Project Management","Process Analyst"
"Accounting","Accounting Clerk"
"Accounting","Property Accountant"
"Accounting","Bookkeeper"
"Accounting","Accountant"
"Accounting","Tax Practitioner"
"Teaching & Tutoring","Subject Teacher"
"Teaching & Tutoring","Instructional Designer"
"Teaching & Tutoring","Education Coordinator"
"Teaching & Tutoring","Consulting Teacher"
"Social Media","Social Media Coordinator"
"Social Media","Community Manager"
"Social Media","Account Manager"
"Social Media","Media Strategist"
"Social Media","Media Advertising Manager"
"Social Media","Media Marketer"
"Social Media","Digital Communication"
"Social Media","Digital PR"
"Administrative Assistance","Executive Assistant"
"Administrative Assistance","Personal Assistant"
"Administrative Assistance","Administrative Assistant"
"Personal Assistant","Online / Virtual PA"
"Small Business","Small Business"
"Other","Other"
"Coaching","Business Coaching"
"Coaching","Sports & Development Coaching"
"Coaching","Leadership Coaching"
"Coaching","Driving School"
"Coaching","Life Coach"
"Coaching","Career Coach"
"Film & TV Broadcasting","Video Production"
"Film & TV Broadcasting","Directing"
"Film & TV Broadcasting","Post Production / Editing"
"Film & TV Broadcasting","Grading / Colorist"
"Film & TV Broadcasting","Producer"
"Film & TV Broadcasting","Audio Engineer"
"Film & TV Broadcasting","Lighting Engineer"
"Film & TV Broadcasting","Gaffer"
"Film & TV Broadcasting","Illustration"
"Film & TV Broadcasting","Storyboard"
"Lifestyle & Entertainment","Radio"
"Lifestyle & Entertainment","Television"
"Lifestyle & Entertainment","MC"
"Lifestyle & Entertainment","Voice Overs"
"Lifestyle & Entertainment","Acting"
"Lifestyle & Entertainment","Music"
"Lifestyle & Entertainment","Theatre"
"Media","Creative Production"
"Food & Catering","Chef"
"Food & Catering","Catering"
"Data Science","Data Analytics"
"Data Science","Data Processing"
"Data Science","Web Scraping"
"Translation","Written Translation"
"Translation","Sworn Translation"
"Translation","Interpretation"
"Translation","Legal Translation"
"Private Office Space / Shared Office Space","Cape Town"
"Private Office Space / Shared Office Space","Woodstock"
"Private Office Space / Shared Office Space","Observatory"
"Private Office Space / Shared Office Space","Stellenbosch"
"Private Office Space / Shared Office Space","Pinelands"
"Private Office Space / Shared Office Space","Barista Service"
"Private Office Space / Shared Office Space","Capped Wifi"
"Private Office Space / Shared Office Space","Uncapped Wifi ( Optional ) "
"Private Office Space / Shared Office Space","Restaurant Facility"
"Private Office Space / Shared Office Space","Private Function Facility"
"Private Office Space / Shared Office Space","Conference Facility"
"Private Office Space / Shared Office Space","Auditorium Facility"
"Private Office Space / Shared Office Space","Luxury Private Suites"
"Private Office Space / Shared Office Space","Rooftop Workspace"
"Private Office Space / Shared Office Space","Shared Office Space"
"Private Office Space / Shared Office Space","Hot Desks"
"Private Office Space / Shared Office Space","On Site IT support"
"Animation","3D Modelling"
"Animation","3D Design"
"Industrial/Product Design","Research"
"Industrial/Product Design","Conceptual Design"
"Industrial/Product Design","Engineering Design"
"Industrial/Product Design","Manufacture"
"Industrial/Product Design","3D Printing"
"Industrial/Product Design","3D modelling (CAD)"
"Industrial/Product Design","3D Rendering"
"Health & Beauty","Makeup Artist"
"Health & Beauty","Hair Stylist"
"Travel & Hospitality","Travel Writing"
"Travel & Hospitality","Hospitality"
"Travel & Hospitality","Travel Photography"
"Travel & Hospitality","Tour Guide"
"Corporate Workshops","Creative Team Building"
"Corporate Workshops","Bachelorette Parties"
"Corporate Workshops","Baby Showers"
"Corporate Workshops","Birthday Parties"
"Fashion Design","Develop & Create apparel"
"Fashion Design","Clothing Design"
"Fashion Design","Footwear Design"
"Fashion Design","Accessories Design"
"Fashion Design","Woven Materials & Knitwear"
"Fashion Design","Draping Methods"
"Events Professional","Promotions Manager"
"Events Professional","Sound Engineer"
"Events Professional","Lighting Engineer"
"Events Professional","Audio Visual Operator"
